name,found,image_url,license,author,source,wikidata_qid
Javier Sagrera,True,https://upload.wikimedia.org/wikipedia/commons/3/3c/Eurocup-3_2023_Spa_Javier_Sagrera.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108554177
Nico Varrone,True,https://upload.wikimedia.org/wikipedia/commons/5/5a/Nico_Varrone_in_2023.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q112947069
Frederik Vesti,True,https://upload.wikimedia.org/wikipedia/commons/1/1e/Frederik_Vesti_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q57315136
Tommy Smith,True,https://upload.wikimedia.org/wikipedia/commons/a/a0/Tommy_Smith_-_It_8.jpg,CC BY 3.0,"<a href=""https://en.wikipedia.org/wiki/User:Just-an-Ipswich-fan"" class=""extiw"" title=""en:User:Just-an-Ipswich-fan"">Just-an-Ipswich-fan</a> (<a href=""https://en.wikipedia.org/wiki/User_talk:Just-an-Ipswich-fan"" class=""extiw"" title=""en:User talk:Just-an-Ipswich-fan"">talk</a>)",wikidata_P18,Q462503
Théo Pourchaire,True,https://upload.wikimedia.org/wikipedia/commons/a/a8/Pourchaire_Podium_Oschersleben_ADAC_F4_2019-2_%28cropped%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:LoupDragon42"" title=""User:LoupDragon42"">LoupDragon42</a>",wikidata_P18,Q61766530
Dino Beganovic,True,https://upload.wikimedia.org/wikipedia/commons/1/14/FIA_F2_Austria_2025_Nr._8_Beganovic.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q88223519
Leonardo Fornaroli,True,https://upload.wikimedia.org/wikipedia/commons/a/a6/FREC_2022_Spielberg_Nr._72_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q112943678
Oliver Goethe,True,https://upload.wikimedia.org/wikipedia/commons/7/77/FREC_2021_Spielberg_Nr._96_Goethe.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q106637627
Ayumu Iwasa,True,https://upload.wikimedia.org/wikipedia/commons/2/20/Ayumu_Iwasa_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q104848832
Brad Benavides,True,https://upload.wikimedia.org/wikipedia/commons/9/91/FIA_F3_Austria_2022_Nr._27_Benavides.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q106635797
Dennis Hauger,True,https://upload.wikimedia.org/wikipedia/commons/6/6b/Dennis_Hauger_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q72714072
José Garfias,True,https://upload.wikimedia.org/wikipedia/commons/8/8d/FREC_2021_Spielberg_Nr._99_Garfias.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108602403
Amaury Cordeel,True,https://upload.wikimedia.org/wikipedia/commons/8/80/FIA_F3_Austria_2021_Nr._22_Cordeel.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q105311478
Paul Aron,True,https://upload.wikimedia.org/wikipedia/commons/0/0b/Paul-Aron-F2-2024.jpg,CC BY 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:F1xesc&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:F1xesc (page does not exist)"">F1xesc</a>",wikidata_P18,Q93973312
Hugh Barter,True,https://upload.wikimedia.org/wikipedia/commons/9/93/HughBarterpreseasonupdatesvideoyoutube2021.jpg,CC BY 3.0,Hugh Barter Racing,wikidata_P18,Q116266949
