name,found,image_url,license,author,source,wikidata_qid
Taito Kato,True,https://upload.wikimedia.org/wikipedia/commons/c/c8/FRECA_2025_Mogyor%C3%B3d_Kato.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q131426164
Maciej Gładysz,True,https://upload.wikimedia.org/wikipedia/commons/f/ff/MaciejGladysz.jpg,CC0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Media4Racing&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Media4Racing (page does not exist)"">Media4Racing</a>",wikidata_P18,Q122216907
Kanato Le,True,https://upload.wikimedia.org/wikipedia/commons/4/40/FRECA_2025_-_Misano_-_Kanato_Le_%283%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Road_Atlanta_Turn_5"" title=""User:Road Atlanta Turn 5"">Road Atlanta Turn 5</a>",wikidata_P18,Q125730967
Hiyu Yamakoshi,True,https://upload.wikimedia.org/wikipedia/commons/e/e9/Euro_4_2024_-_Monza_-_Hiyu_Yamakoshi.jpg,CC0,"<a href=""//commons.wikimedia.org/wiki/User:Road_Atlanta_Turn_5"" title=""User:Road Atlanta Turn 5"">Road Atlanta Turn 5</a>",wikidata_P18,Q131178901
Enzo Deligny,True,https://upload.wikimedia.org/wikipedia/commons/c/c1/Enzo_Deligny_Monza_%28cropped%29.jpg,CC BY 4.0,fotocar13,wikidata_P18,Q115521233
Bruno del Pino,True,https://upload.wikimedia.org/wikipedia/commons/c/c3/Eurocup-3_2024_Spielberg_Nr._6_del_Pino.jpg,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q131145273
Pedro Clerot,True,https://upload.wikimedia.org/wikipedia/commons/0/01/F4_Spain_2023_Spa_Pedro_Clerot.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q115271350
Brando Badoer,True,https://upload.wikimedia.org/wikipedia/commons/e/e8/FREC_2024_Mogyor%C3%B3d_Podium_Race_1_%282%29_%28cropped%29_%28Brando_Badoer%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q125716910
Christian Ho,True,https://upload.wikimedia.org/wikipedia/commons/9/93/F4_Spain_2023_Spa_Christian_Ho.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q113861496
Louis Sharp,True,https://upload.wikimedia.org/wikipedia/commons/3/31/Louis_Sharp_Oulton_Park_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:AmazingLemur41&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:AmazingLemur41 (page does not exist)"">AmazingLemur41</a>",wikidata_P18,Q112262887
Fionn McLaughlin,False,,,,,Q126616418
Yevan David,True,https://upload.wikimedia.org/wikipedia/commons/f/fc/Yevan_David_2023.png,CC BY 3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/@AdaDeranaEnglish"">Ada Derana English</a>",wikidata_P18,Q135527676
Nicola Lacorte,True,https://upload.wikimedia.org/wikipedia/commons/1/14/FREC_2024_Mogyor%C3%B3d_Nicola_Lacorte.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q124040318
Nandhavud Bhirombhakdi,True,https://upload.wikimedia.org/wikipedia/commons/3/31/FRECA_2025_Mogyor%C3%B3d_Bhirombhakdi.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q131528247
Gerrard Xie,True,https://upload.wikimedia.org/wikipedia/commons/f/fb/GB3_2024_Mogyor%C3%B3d_Nr._23_Xie.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q118314123
Marcus Armstrong,True,https://upload.wikimedia.org/wikipedia/commons/b/b3/Marcus_Armstrong_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q27889082
Jüri Vips,True,https://upload.wikimedia.org/wikipedia/commons/c/cc/Juri_Vips_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q27924792
Olli Caldwell,True,https://upload.wikimedia.org/wikipedia/commons/c/c5/Olli_Caldwell_in_2023.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q85314596
Jake Hughes,True,https://upload.wikimedia.org/wikipedia/commons/8/86/Jake_Hughes_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q17541830
Callum Voisin,True,https://upload.wikimedia.org/wikipedia/commons/7/7a/Callum_Voisin_GB3.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:44Formula1&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:44Formula1 (page does not exist)"">Josh Robinson</a>",wikidata_P18,Q115707246
Ivan Domingues,True,https://upload.wikimedia.org/wikipedia/commons/8/88/Domingues_Ivan_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q113141083
Marino Sato,True,https://upload.wikimedia.org/wikipedia/commons/f/f6/Marino_Sato_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q28777402
Cem Bölükbaşı,True,https://upload.wikimedia.org/wikipedia/commons/8/8b/Cem_Bolukbasi_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q97230435
Roy Nissany,True,https://upload.wikimedia.org/wikipedia/commons/1/16/Roy-Nissany-Oschersleben-2011.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:B%C3%A1lint_F_Gyula&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Bálint F Gyula (page does not exist)"">Bálint F Gyula</a>",wikidata_P18,Q7373213
David Beckmann,True,https://upload.wikimedia.org/wikipedia/commons/4/41/2023-04-22_Motorsport%2C_ABB_FIA_Formula_E_World_Championship%2C_Berlin_E-Prix_2023_1DX_1009_by_Stepro.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Stepro"" title=""User:Stepro"">Steffen Prößdorf</a>",wikidata_P18,Q20752093
Tatiana Calderón,True,https://upload.wikimedia.org/wikipedia/commons/6/61/Tatiana_Calder%C3%B3n_primera_latina_en_pilotear_un_F%C3%B3rmula_Uno_01_%28cropped-1%29.jpg,CC BY 3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/c/NotimexTV/"">NotimexTV on YouTube</a>",wikidata_P18,Q6454881
Nazim Azman,True,https://upload.wikimedia.org/wikipedia/commons/1/1f/Euroformula_Open_2021_Spielberg_Nr._18_Azman.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108744789
David Vidales,True,https://upload.wikimedia.org/wikipedia/commons/b/be/FIA_F3_Austria_2022_Nr._20_Vidales_%28side%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q27957206
William Alatalo,True,https://upload.wikimedia.org/wikipedia/commons/3/3b/William_Alatalo_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q97100950
Enzo Trulli,True,https://upload.wikimedia.org/wikipedia/commons/5/56/Euroformula_Open_2021_Spielberg_Nr._15_Trulli.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108837796
Reece Ushijima,True,https://upload.wikimedia.org/wikipedia/commons/b/b5/ReeceUshijimaF3.png,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:BrokenGearbox"" title=""User:BrokenGearbox"">BrokenGearbox</a>",wikidata_P18,Q107029893
Federico Malvestiti,True,https://upload.wikimedia.org/wikipedia/commons/d/d0/Federico_Malvestiti_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q65556575
Ralph Boschung,True,https://upload.wikimedia.org/wikipedia/commons/c/ce/Ralph_Boschung_Monza_F2_2017.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Liondartois"" title=""User:Liondartois"">Liondartois</a>",wikidata_P18,Q19477224
Nikita Bedrin,True,https://upload.wikimedia.org/wikipedia/commons/a/a5/Nikita_Bedrin_Spa_2025.png,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Maceekim&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Maceekim (page does not exist)"">Maceekim</a>",wikidata_P18,Q114287639
Kacper Sztuka,True,https://upload.wikimedia.org/wikipedia/commons/9/93/Kacper_Sztuka.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Kkossek&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Kkossek (page does not exist)"">Kkossek</a>",wikidata_P18,Q112119269
Carl Bennett,True,https://upload.wikimedia.org/wikipedia/commons/5/55/F4_Spain_2023_Spa_Carl_Bennett.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q124499364
